method,n_wells,seed,energy,production,interference,runtime,selected_wells
Random,6,0,-2.1154715621809865,2.480630885747106,0.3651593235661198,0.02255229977890849,"2,3,4,5"
SA,6,0,-2.1154715621809865,2.480630885747106,0.3651593235661198,0.03594260010868311,"2,3,4,5"
Exact,6,0,-2.1154715621809865,2.480630885747106,0.3651593235661198,0.00032849982380867004,"2,3,4,5"
QAOA,6,0,-2.071628054240883,2.4788596519690853,0.40723159772820255,0.0026406999677419662,"0,2,4,5"
Random,6,1,-2.05810847249189,2.537053962788021,0.47894549029613104,0.01244870014488697,"0,1,2,3,5"
SA,6,1,-2.05810847249189,2.537053962788021,0.47894549029613104,0.022636200301349163,"0,1,2,3,5"
Exact,6,1,-2.05810847249189,2.537053962788021,0.47894549029613104,0.0002953996881842613,"0,1,2,3,5"
QAOA,6,1,-2.0175800339785614,2.2681482446169103,0.2505682106383488,0.0011452999897301197,"0,1,2,5"
Random,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.015232899691909552,"0,1,2,4,5"
SA,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.023644499946385622,"0,1,2,4,5"
Exact,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.0003770003095269203,"0,1,2,4,5"
QAOA,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.0013227001763880253,"0,1,2,4,5"
Random,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.015301600098609924,"1,2,3,4,5"
SA,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.02460449980571866,"1,2,3,4,5"
Exact,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.0002950001507997513,"1,2,3,4,5"
QAOA,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.001157199963927269,"1,2,3,4,5"
Random,6,4,-2.5329517373668495,3.08547361022986,0.5525218728630107,0.016573000233620405,"0,1,2,3,4,5"
SA,6,4,-2.5329517373668495,3.08547361022986,0.5525218728630107,0.02376599982380867,"0,1,2,3,4,5"
Exact,6,4,-2.5329517373668495,3.08547361022986,0.5525218728630107,0.0002934001386165619,"0,1,2,3,4,5"
QAOA,6,4,-2.491761382047717,2.815464542081518,0.3237031600338013,0.0011614998802542686,"0,1,2,4,5"
Random,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.013258000370115042,"1,3,4,5,6,7"
SA,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.019683100283145905,"1,3,4,5,6,7"
Exact,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.0010527996346354485,"1,3,4,5,6,7"
QAOA,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.0013001998886466026,"1,3,4,5,6,7"
Random,8,1,-1.9209451893552234,2.547959673227838,0.6270144838726145,0.01232309965416789,"0,1,2,5,6,7"
SA,8,1,-1.9209451893552234,2.547959673227838,0.6270144838726145,0.02356169978156686,"0,1,2,5,6,7"
Exact,8,1,-1.9209451893552234,2.547959673227838,0.6270144838726145,0.001371299847960472,"0,1,2,5,6,7"
QAOA,8,1,-1.9035620440333028,2.5912398559077814,0.6876778118744785,0.0013238000683486462,"0,1,2,4,5,7"
Random,8,2,-2.1760566071072223,2.8895700299569897,0.7135134228497677,0.0158328996039927,"0,2,3,4,6"
SA,8,2,-2.1760566071072223,2.8895700299569897,0.7135134228497677,0.022231999784708023,"0,2,3,4,6"
Exact,8,2,-2.1760566071072223,2.8895700299569897,0.7135134228497677,0.0011279997415840626,"0,2,3,4,6"
QAOA,8,2,-2.079726796919985,2.4644863837439344,0.3847595868239493,0.001068000216037035,"2,3,4,6"
Random,8,3,-2.6790728475539876,3.716158562489162,1.0370857149351738,0.013131299987435341,"0,1,2,3,5,6,7"
SA,8,3,-2.6790728475539876,3.716158562489162,1.0370857149351738,0.02083289995789528,"0,1,2,3,5,6,7"
Exact,8,3,-2.6790728475539876,3.716158562489162,1.0370857149351738,0.001134099904447794,"0,1,2,3,5,6,7"
QAOA,8,3,-2.653444569398349,3.3468961264695984,0.6934515570712497,0.0013671000488102436,"0,1,2,3,5,6"
Random,8,4,-2.5794934438577632,3.326228782012447,0.7467353381546835,0.012948600109666586,"1,2,3,4,5,6,7"
SA,8,4,-2.5794934438577632,3.326228782012447,0.7467353381546835,0.02246209979057312,"1,2,3,4,5,6,7"
Exact,8,4,-2.5794934438577632,3.326228782012447,0.7467353381546835,0.001102999784052372,"1,2,3,4,5,6,7"
QAOA,8,4,-2.5214490190372243,3.0184336713494444,0.49698465231222017,0.0010417001321911812,"2,3,4,5,6,7"
Random,10,0,-2.431204883513664,3.1816626647477344,0.7504577812340707,0.012724800035357475,"1,2,3,4,5,7"
SA,10,0,-2.512568195027444,3.658555656431376,1.145987461403932,0.023268800228834152,"0,1,2,3,4,5,7"
Exact,10,0,-2.512568195027444,3.658555656431376,1.145987461403932,0.0045957001857459545,"0,1,2,3,4,5,7"
QAOA,10,0,-2.3924594701968633,3.2831574659811356,0.8906979957842717,0.0010707997716963291,"0,1,2,3,6,7"
Random,10,1,-3.2694279246925877,4.677355746839288,1.4079278221467004,0.01383560011163354,"0,1,3,4,5,6,7,9"
SA,10,1,-3.2694279246925877,4.677355746839288,1.4079278221467004,0.019924200139939785,"0,1,3,4,5,6,7,9"
Exact,10,1,-3.2694279246925877,4.677355746839288,1.4079278221467004,0.005118300206959248,"0,1,3,4,5,6,7,9"
QAOA,10,1,-3.217098532932117,4.761303108188912,1.5442045752567952,0.0012610000558197498,"0,1,3,5,6,7,8,9"
Random,10,2,-3.190600167012932,4.806473878762282,1.6158737117493498,0.015305299777537584,"0,1,2,4,5,7,8,9"
SA,10,2,-3.190600167012932,4.806473878762282,1.6158737117493498,0.02367270039394498,"0,1,2,4,5,7,8,9"
Exact,10,2,-3.190600167012932,4.806473878762282,1.6158737117493498,0.004936999641358852,"0,1,2,4,5,7,8,9"
QAOA,10,2,-3.190600167012932,4.806473878762282,1.6158737117493498,0.001253100112080574,"0,1,2,4,5,7,8,9"
Random,10,3,-2.287322590183881,2.9622687606808467,0.6749461704969655,0.015275500249117613,"0,1,5,7,8,9"
SA,10,3,-2.287322590183881,2.9622687606808467,0.6749461704969655,0.0238149999640882,"0,1,5,7,8,9"
Exact,10,3,-2.287322590183881,2.9622687606808467,0.6749461704969655,0.004985500127077103,"0,1,5,7,8,9"
QAOA,10,3,-2.1985140341004676,2.9332693476999148,0.7347553135994469,0.0012817000970244408,"0,2,5,7,8,9"
Random,10,4,-2.7227258416114997,3.4409791316603924,0.7182532900488923,0.015547499991953373,"0,3,4,5,7,8,9"
SA,10,4,-2.7227258416114997,3.4409791316603924,0.7182532900488923,0.024066100362688303,"0,3,4,5,7,8,9"
Exact,10,4,-2.7227258416114997,3.4409791316603924,0.7182532900488923,0.004423600155860186,"0,3,4,5,7,8,9"
QAOA,10,4,-2.665595390615909,3.1611386699716486,0.49554327935573905,0.0011244998313486576,"0,3,4,5,7,8"
